,precision,recall,f1-score,support
avión,0.6448303078137332,0.817,0.7207763564181738,1000.0
auto,0.8017408123791102,0.829,0.8151425762045231,1000.0
pájaro,0.6309921962095875,0.566,0.5967316816025303,1000.0
gato,0.4646628757108042,0.572,0.5127745405647691,1000.0
ciervo,0.6753246753246753,0.572,0.6193827828911749,1000.0
perro,0.6552538370720189,0.555,0.6009745533297238,1000.0
rana,0.7587890625,0.777,0.7677865612648221,1000.0
caballo,0.7618090452261307,0.758,0.7598997493734336,1000.0
barco,0.8210961737331954,0.794,0.8073207930859176,1000.0
camión,0.8103254769921436,0.722,0.7636171337916446,1000.0
accuracy,0.6962,0.6962,0.6962,0.6962
macro avg,0.7024824462961399,0.6961999999999999,0.6964406728526713,10000.0
weighted avg,0.7024824462961399,0.6962,0.6964406728526714,10000.0
